"stratum","count_year","total_count_circles","total_obs_hours"
"AB",2009,9,623.5
"AB",2010,10,773.5
"AB",2011,11,763
"AB",2012,12,858
"AB",2013,13,831
"AB",2014,12,811.6
"AB",2015,12,759.42
"AB",2016,11,796.93
"AB",2017,11,764.28
"AB",2018,11,780.44
"AB",2019,10,798.38
"AB",2020,11,770.22
"AB",2021,11,1074.67
"AK",1966,3,32
"AK",1967,2,47
"AK",1968,4,66
"AK",1969,5,118
"AK",1970,3,54
"AK",1971,3,87
"AK",1972,5,77
"AK",1973,2,39
"AK",1974,7,149
"AK",1975,9,211.5
"AK",1976,9,227
"AK",1977,9,332
"AK",1978,8,249.5
"AK",1979,8,277
"AK",1980,11,320.3
"AK",1981,12,404
"AK",1982,16,579.8
"AK",1983,16,696.8
"AK",1984,18,648.8
"AK",1985,15,483.6
"AK",1986,17,546.9
"AK",1987,16,555.9
"AK",1988,16,516.5
"AK",1989,17,498.4
"AK",1990,18,595.3
"AK",1991,20,717
"AK",1992,22,717.5
"AK",1993,20,827
"AK",1994,21,876.5
"AK",1995,25,879.75
"AK",1996,26,954.75
"AK",1997,24,831.75
"AK",1998,25,977
"AK",1999,25,999.95
"AK",2000,25,953.05
"AK",2001,25,1017.65
"AK",2002,26,995.15
"AK",2003,26,1166.4
"AK",2004,27,981
"AK",2005,25,1078.5
"AK",2006,28,1149.25
"AK",2007,27,1230.25
"AK",2008,27,1206.75
"AK",2009,29,1149
"AK",2010,29,1160.5
"AK",2011,27,1166.5
"AK",2012,27,1174.05
"AK",2013,26,1022.3
"AK",2014,27,1052.48
"AK",2015,29,1182.4
"AK",2016,26,1088.57
"AK",2017,26,1116.6
"AK",2018,27,1167.32
"AK",2019,28,1154.48
"AK",2020,25,1120.85
"AK",2021,24,1141.05
"AZ",1966,1,42
"AZ",1967,1,42
"AZ",1968,1,24
"AZ",1969,3,150
"AZ",1970,3,105
"AZ",1971,3,216
"AZ",1972,4,269
"AZ",1973,5,404
"AZ",1974,5,482
"AZ",1975,5,410
"AZ",1976,5,425.2
"AZ",1977,6,518.3
"AZ",1978,5,475.8
"AZ",1979,7,583
"AZ",1980,7,563
